gene	Npart
NUP133	4
TNRC6A	4
UNK	4
MIR548AR	4
LOC100506071	4
PPP6R1	4
HNRNPUL1	4
HAUS8	4
ABHD15	4
SCARNA21B	4
KDM4C	4
SNORD8	4
ZNF16	4
DPP8	4
ATRIP	4
CDK11A	4
ABCA11P	4
TPD52L2	4
MIR4690	4
TTF1	4
TRIM37	4
CCDC57	4
FAM3A	4
EME2	4
SUGP2	4
FNBP1	4
STAM	4
USP50	4
TIMM44	4
HMCES	4
RBM22	4
INF2	4
MIR4292	4
MIR6799	4
SLC38A1	4
LUC7L2	4
SNORA70G	4
RFC1	4
DEDD2	4
PTAR1	4
KIAA0753	4
SLC66A3	4
BRWD1	4
CYLD	4
YJU2	4
GRAP2	4
BCL2L12	4
MIR6773	4
GFRA4	4
RNF168	4
PELP1	4
LINC01072	4
GALNT11	4
ANTKMT	4
TMPRSS12	4
MTRR	4
USE1	4
LOC651337	4
RBM15B	4
EXOSC4	4
ALMS1-IT1	4
HDGFL2	4
AMDHD2	4
LYRM2	4
ZNFX1	4
TNPO2	4
MIRLET7G	4
ASH1L-AS1	4
SNORD67	4
CBS	4
CDK2AP1	4
MIR3115	4
LHFPL5	4
MYBBP1A	4
MCM3AP	4
TBC1D20	4
PTGER1	4
BLTP1	4
ANKLE2	4
ALG12	4
PPP5C	4
MVB12A	4
SAP30BP	4
SMG7	4
CERK	4
USP36	4
ZNF584	4
ARID3A	4
TLK1	4
MARK3	4
MIR4715	4
ATP1A1	4
AKT1	4
USP9X	4
WNK1	4
WNT11	4
DOT1L	4
BPTF	4
RMND5B	4
STIP1	4
ZNF609	4
TBC1D2B	4
RAB8A	4
TTLL5	4
PHKB	4
MAP1LC3B	4
TEKT2	4
RSPH6A	4
RNF44	4
P4HA1	4
PPP1R12A	4
GCFC2	4
DYNLRB1	4
MAP4K2	4
FAM217A	4
CUL1	4
DNAJC13	4
MIR548AT	4
STUB1	4
LTC4S	4
ANKRD12	4
MIR6767	4
SMC6	4
C20orf204	4
THRAP3	4
GGPS1	4
RAB6A	4
ATE1	4
RPTOR	4
EIF5B	4
SURF4	4
ARHGAP45	4
FAM120AOS	4
BRF1	4
ESYT1	4
DDN	4
MDM4	4
DYSF	4
CLEC2B	4
CDC27	4
VCP	4
CAMSAP1	4
OGT	4
TAOK3	4
LOC100288123	4
GOLPH3L	4
LOC652276	4
UBE2W	4
MIR6743	4
EPB41	4
DCUN1D1	4
MIR620	4
SARNP	4
ZL142|ZL42|ggn68	4
BCAP31	4
CCNF	4
SETD5	4
POFUT2	4
HAUS3	4
SNX4	4
CHCT1	4
ELOB	4
USP24	4
ROCK1	4
DIPK2B	4
XRCC3	4
KDM5A	4
AGRN	4
TRAF7	4
ADSL	4
SNORA2B	4
SLC4A7	4
EEF1G	4
LRRC14	4
NUCB1-AS1	4
SPRN	4
ZBTB17	4
ING5	4
DVL1	4
WIPI2	4
TOR4A	4
DDX31	4
AKAP8L	4
DDB1	4
ILKAP	4
INTS6L-AS1	4
TIGD3	4
POLR3K	4
MIR6756	4
GANAB	4
CAPS	4
MIR1227	4
CAMTA1	4
ARL6IP1	4
CD160	4
SMAP2	4
MIR941-1	4
CHD3	4
S100PBP	4
MACF1	4
TTC17	4
STXBP3	4
DGKD	4
TARS2	4
ING4	4
GATD1	4
ZNF460	4
ZBTB7A	4
H2BK1	4
TUBGCP2	4
ARHGAP35	4
SHBG	4
BRWD3	4
EMSY	4
AP1G1	4
GAREM2	4
MIR548O2	4
SNORA56	4
ZFX	4
